Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-121,2018-11-30 11:10:00,00:00:00,33.93,26.56,21.97,20.12,18.48,17.62,16.78,16.7,35.92,25.88,21.31,20.35,18.71,17.7,17.16,16.54,34.0,27.98,20.64,18.55,17.24,16.42,16.09,33.29,27.03,22.35,20.34,18.55,17.87,16.89,16.36,22.86,19.83,22.2,0.04,0.28,-0.13,0.01,0.09,-0.41,-0.37,0.83,-1.43,-0.57,-0.58,20.94,20.95,20.94,20.97,20.96,20.94,20.95,20.94
-120,2018-11-30 11:10:01,00:00:01,33.89,26.44,22.08,20.15,18.51,17.69,16.96,16.69,35.88,26.18,21.45,20.46,18.9,17.73,17.19,16.61,34.07,28.09,20.63,18.55,17.39,16.53,16.24,33.21,26.88,22.49,20.37,18.62,18.02,16.92,16.31,22.92,19.86,22.26,0.26,0.28,-0.03,0.01,0.0,1.21,-2.02,0.03,-1.43,-0.57,-0.58,20.95,20.95,20.93,20.97,20.96,20.94,20.95,20.94
-119,2018-11-30 11:10:02,00:00:02,33.9,26.56,22.28,20.31,18.82,17.74,16.97,16.73,35.92,26.56,21.61,20.42,18.86,17.81,17.2,16.66,33.92,28.06,20.64,18.67,17.35,16.49,16.4,33.21,26.96,22.53,20.3,18.81,18.02,16.89,16.47,22.85,19.79,22.46,0.11,0.07,-0.19,-0.11,-0.2,-0.41,-0.37,0.03,0.48,0.39,0.89,20.94,20.95,20.96,20.94,20.95,20.94,20.93,20.94
-118,2018-11-30 11:10:03,00:00:03,33.77,26.51,22.3,20.26,18.66,17.96,17.07,16.76,35.87,26.89,21.75,20.3,19.08,17.91,17.26,16.68,33.87,28.27,20.59,18.58,17.38,16.63,16.42,33.28,26.83,22.56,20.59,18.99,18.09,16.99,16.46,22.89,19.94,22.54,0.15,0.28,-0.19,-0.17,-0.1,-0.41,-0.37,-0.78,-1.43,0.39,-0.58,20.95,20.94,20.95,20.92,20.95,20.95,20.96,20.95
-117,2018-11-30 11:10:04,00:00:04,33.85,26.7,22.23,20.34,18.78,17.92,17.11,16.77,35.76,27.16,21.79,20.49,19.12,17.92,17.38,16.8,33.92,28.16,20.59,18.59,17.42,16.79,16.51,33.24,26.8,22.53,20.71,19.04,18.13,17.07,16.58,23.09,19.87,22.54,0.33,0.13,0.01,0.11,0.04,-0.41,-0.37,-0.78,-1.43,0.39,-0.58,20.94,20.96,20.94,20.93,20.95,20.96,20.95,20.94
-116,2018-11-30 11:10:05,00:00:05,33.89,26.7,22.35,20.57,18.78,17.92,17.15,16.92,35.84,27.31,21.91,20.46,19.28,17.99,17.42,16.92,33.88,28.32,20.71,18.66,17.46,16.72,16.54,33.21,26.84,22.6,20.82,19.23,18.17,17.03,16.65,22.92,19.94,22.61,0.3,0.3,-0.25,-0.08,-0.02,2.82,-2.02,0.03,4.3,-0.57,-0.58,20.95,20.94,20.95,20.9,20.95,20.93,20.95,20.95
-115,2018-11-30 11:10:06,00:00:06,33.81,26.7,22.46,20.68,18.88,17.92,17.11,16.88,35.95,27.38,22.09,20.68,19.23,18.03,17.41,16.87,33.8,28.38,20.7,18.81,17.46,16.75,16.54,33.2,26.83,22.68,21.01,19.26,18.2,17.07,16.73,23.0,19.86,22.61,0.04,0.24,-0.14,-0.02,-0.04,-3.64,-0.37,-0.78,-1.43,-1.53,-2.06,20.94,20.95,20.95,20.96,20.96,20.94,20.96,20.94
-114,2018-11-30 11:10:07,00:00:07,33.85,26.7,22.5,20.69,18.97,17.92,17.15,16.96,35.73,27.5,22.25,20.76,19.16,18.11,17.53,16.96,33.99,28.43,20.74,18.85,17.58,16.87,16.62,33.36,26.76,22.79,21.01,19.3,18.25,17.19,16.81,23.16,19.98,22.69,0.04,-0.08,-0.24,-0.23,-0.07,1.21,1.27,-1.58,-1.43,-0.57,-0.58,20.95,20.94,20.94,20.92,20.95,20.94,20.94,20.94
-113,2018-11-30 11:10:08,00:00:08,33.92,26.7,22.53,20.76,18.96,17.92,17.22,16.99,35.68,27.42,22.51,20.87,19.38,18.18,17.6,16.95,33.91,28.16,20.85,18.92,17.72,16.86,16.65,33.16,26.83,22.86,21.16,19.45,18.43,17.1,16.88,23.22,19.97,22.56,0.11,-0.27,-0.08,-0.04,-0.15,2.82,-0.37,0.03,-1.43,-0.57,0.89,20.94,20.93,20.95,20.99,20.95,20.95,20.94,20.95
-112,2018-11-30 11:10:09,00:00:09,33.85,26.62,22.42,20.49,18.92,18.07,17.18,17.03,35.68,27.42,22.7,20.98,19.35,18.18,17.53,16.99,33.84,28.23,20.89,19.04,17.61,16.9,16.73,33.35,26.87,22.83,21.08,19.56,18.43,17.29,16.88,23.26,20.05,22.76,-0.18,-0.32,-0.06,-0.03,0.05,1.21,1.27,0.03,0.48,0.39,-3.54,20.93,20.94,20.94,20.92,20.95,20.94,20.93,20.94
