Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 0.75 m Below Lintel,Quadrant C Temperature 0.6 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-122,2018-11-29 15:27:00,00:00:00,27.21,25.2,23.16,20.58,19.66,19.08,18.61,18.23,27.25,25.59,23.09,20.73,19.59,19.07,17.24,16.97,26.97,25.57,21.14,19.43,18.84,17.87,16.29,27.5,25.64,23.56,20.65,19.66,19.4,18.11,15.45,21.46,16.51,16.19,16.04,16.99,20.44,17.4,22.51,-0.18,0.26,0.35,0.3,0.23,0.24,-0.29,-0.02,0.0,-0.09,-0.35,-0.44,-0.91,0.49,-0.44,-1.98,20.95,20.96,20.96,20.94,20.96,20.95,20.96,20.96
-121,2018-11-29 15:27:01,00:00:01,27.13,25.35,23.07,20.73,19.54,19.11,18.6,18.3,27.32,25.58,23.05,20.61,19.51,19.06,16.97,16.77,27.04,25.68,21.13,19.35,18.91,17.87,16.4,27.46,25.68,23.63,20.57,19.61,19.36,18.03,15.56,21.42,16.43,16.22,16.11,16.99,20.21,17.39,22.42,0.11,0.32,0.21,0.22,0.34,-0.24,0.3,0.06,0.07,0.11,2.88,-2.09,-0.11,-1.42,-0.44,-0.51,20.96,20.95,20.96,20.96,20.95,20.95,20.96,20.96
-120,2018-11-29 15:27:02,00:00:02,27.14,25.28,23.01,20.63,19.63,19.04,18.73,18.46,27.22,25.74,23.1,20.66,19.56,18.96,16.91,16.48,27.21,25.73,21.14,19.25,18.81,17.8,16.11,27.36,25.65,23.64,20.46,19.59,19.29,18.23,15.87,21.6,16.35,15.98,15.8,16.6,20.2,17.43,22.46,0.18,-0.17,0.38,0.28,0.2,-0.16,-0.27,-0.02,-0.14,-0.08,2.88,1.21,0.7,-1.42,-0.44,0.97,20.95,20.96,20.96,20.92,20.94,20.95,20.96,20.95
-119,2018-11-29 15:27:03,00:00:03,27.17,25.2,23.12,20.58,19.51,19.04,18.65,18.42,27.21,25.74,23.06,20.73,19.44,18.92,17.17,16.47,27.05,25.72,21.14,19.28,18.99,17.76,16.18,27.31,25.53,23.56,20.42,19.5,19.21,18.19,15.91,21.49,16.12,15.68,15.72,16.33,20.09,17.27,22.5,-0.15,0.16,0.12,0.19,-0.15,0.47,-0.09,0.11,0.14,0.12,-0.35,-0.44,-0.11,-1.42,0.52,-1.98,20.94,20.96,20.96,20.96,20.95,20.95,20.96,20.95
-118,2018-11-29 15:27:04,00:00:04,27.15,25.11,22.99,20.57,19.49,18.91,18.74,18.36,27.16,25.49,23.0,20.64,19.46,18.9,17.3,16.42,27.15,25.67,21.08,19.27,18.9,17.82,16.01,27.3,25.4,23.55,20.29,19.37,19.31,17.87,15.66,21.41,15.97,15.53,15.88,16.26,20.09,17.31,22.46,0.28,0.26,0.35,0.3,0.09,0.22,0.24,0.03,0.01,-0.04,-0.35,1.21,-0.11,0.49,1.48,0.97,20.95,20.97,20.95,20.94,20.95,20.95,20.95,20.96
-117,2018-11-29 15:27:05,00:00:05,27.09,25.16,22.85,20.46,19.35,18.84,18.72,18.37,27.24,25.58,23.24,20.77,19.55,18.84,17.47,16.28,27.16,25.61,21.06,19.31,18.95,17.64,16.17,27.27,25.3,23.52,20.19,19.38,19.28,17.8,15.75,21.43,16.06,15.51,15.59,16.16,20.1,17.18,22.51,-0.21,0.13,0.26,0.22,-0.04,0.35,0.12,0.03,0.05,0.12,-0.35,-0.44,-1.71,0.49,-0.44,0.97,20.95,20.97,20.95,20.94,20.96,20.94,20.95,20.95
-116,2018-11-29 15:27:06,00:00:06,27.16,25.04,22.77,20.61,19.35,18.88,18.6,18.37,27.2,25.54,23.2,20.84,19.54,18.91,17.54,16.27,27.11,25.56,21.01,19.42,18.79,17.44,16.28,27.23,25.14,23.51,20.1,19.34,19.01,17.6,15.71,21.43,16.01,15.5,15.62,16.15,20.1,17.25,22.47,0.35,0.24,0.21,0.16,-0.33,0.32,0.16,0.09,0.06,-0.2,1.26,2.85,-0.11,-1.42,-0.44,-0.51,20.95,20.96,20.96,20.96,20.94,20.95,20.96,20.95
-115,2018-11-29 15:27:07,00:00:07,27.09,24.94,22.7,20.51,19.32,18.85,18.61,18.38,27.17,25.59,23.06,20.77,19.52,18.99,17.62,16.32,27.16,25.76,20.91,19.36,18.77,17.41,16.37,27.24,25.12,23.45,20.08,19.28,19.1,17.77,15.91,21.42,16.01,15.34,15.69,16.0,20.09,17.24,22.54,0.35,0.13,0.06,0.07,-0.15,-0.28,-0.35,0.22,0.24,0.36,2.88,-2.09,0.7,-1.42,1.48,2.45,20.97,20.97,20.97,20.94,20.95,20.95,20.95,20.95
-114,2018-11-29 15:27:08,00:00:08,27.16,24.93,22.62,20.43,19.43,18.69,18.64,18.45,27.17,25.58,23.13,20.73,19.55,19.03,17.62,16.47,27.04,25.49,21.06,19.35,18.88,17.56,16.32,27.04,25.15,23.44,20.0,19.35,18.82,17.34,15.56,21.34,16.16,15.3,15.72,16.07,19.97,17.2,22.34,0.38,0.28,-0.17,0.16,-0.26,0.26,-0.09,-0.02,0.04,0.01,-1.96,-0.44,-0.11,-1.42,-0.44,-0.51,20.95,20.96,20.95,20.93,20.95,20.94,20.97,20.95
-113,2018-11-29 15:27:09,00:00:09,27.05,25.01,22.43,20.43,19.43,18.73,18.76,18.41,27.09,25.62,23.16,20.77,19.59,19.03,17.77,16.47,26.97,25.64,20.94,19.31,18.76,17.26,16.29,27.2,25.03,23.41,19.96,19.12,18.56,17.19,15.56,21.49,15.97,15.34,15.57,15.8,19.97,17.27,22.31,0.41,0.34,0.24,0.07,0.38,-0.32,-0.32,0.01,0.07,0.13,-1.96,-3.73,-0.11,0.49,-0.44,-0.51,20.95,20.98,20.96,20.93,20.95,20.95,20.96,20.95
-112,2018-11-29 15:27:10,00:00:10,27.09,24.93,22.54,20.43,19.35,18.77,18.72,18.49,27.13,25.62,23.01,20.77,19.66,19.06,17.69,16.54,27.01,25.45,20.9,19.28,18.88,17.41,16.29,27.2,25.0,23.52,19.84,19.19,18.6,17.12,15.37,21.42,15.93,15.27,15.73,15.81,19.9,17.16,22.5,0.26,-0.2,0.12,0.24,0.31,-0.35,0.06,-0.23,-0.26,-0.2,-0.35,1.21,-0.11,-1.42,-1.4,-0.51,20.95,20.97,20.95,20.94,20.95,20.95,20.96,20.94
-111,2018-11-29 15:27:11,00:00:11,27.02,24.87,22.71,20.55,19.4,18.66,18.61,18.42,27.22,25.59,23.14,20.78,19.67,18.85,17.78,16.59,27.02,25.5,20.95,19.29,18.89,17.38,16.07,27.17,25.01,23.49,19.7,19.21,18.72,17.28,15.49,21.53,15.97,15.27,15.5,15.88,19.94,17.13,22.46,0.31,0.16,0.33,0.26,-0.11,0.17,0.19,0.08,0.19,0.12,4.49,-0.44,-0.11,-3.33,-0.44,2.45,20.96,20.97,20.95,20.96,20.94,20.95,20.95,20.95
-110,2018-11-29 15:27:12,00:00:12,27.2,24.85,22.92,20.38,19.31,18.65,18.52,18.4,26.97,25.61,23.05,20.8,19.66,18.83,17.8,16.62,27.11,25.52,21.01,19.2,18.72,17.37,15.94,27.3,24.99,23.51,19.65,19.04,18.7,17.34,15.32,21.57,16.01,15.15,15.69,15.88,20.02,17.01,22.42,0.28,0.24,0.3,0.07,-0.11,-0.07,0.19,0.05,0.16,0.0,-0.35,-2.09,-0.91,0.49,0.52,-0.51,20.95,20.96,20.95,20.94,20.96,20.95,20.97,20.94
-109,2018-11-29 15:27:13,00:00:13,27.16,24.9,23.15,20.58,19.31,18.65,18.49,18.33,27.05,25.66,23.01,20.8,19.66,18.84,17.88,16.58,27.04,25.38,20.98,19.09,18.72,17.26,15.9,27.16,24.92,23.37,19.77,19.12,18.75,17.31,15.22,21.57,16.16,15.22,15.34,15.76,20.01,17.27,22.53,0.31,-0.13,0.12,-0.16,0.2,-0.22,0.28,0.05,0.04,0.08,1.26,-0.44,0.7,0.49,-0.44,-1.98,20.95,20.97,20.95,20.99,20.96,20.96,20.96,20.95
-108,2018-11-29 15:27:14,00:00:14,27.01,24.82,23.19,20.5,19.43,18.69,18.49,18.26,27.02,25.66,22.98,20.65,19.59,18.76,17.92,16.66,26.93,25.38,21.02,19.16,18.61,17.33,16.17,27.23,24.96,23.41,19.65,19.08,18.86,17.19,15.1,21.57,16.04,15.11,15.31,15.65,20.01,17.12,22.61,0.11,-0.08,0.19,0.24,0.14,0.08,0.06,-0.01,-0.0,-0.07,1.26,-0.44,-0.11,-1.42,0.52,-1.98,20.96,20.98,20.96,20.94,20.95,20.94,20.95,20.97
-107,2018-11-29 15:27:16,00:00:15,27.0,24.92,23.22,20.45,19.53,18.6,18.59,18.17,27.01,25.61,22.96,20.57,19.61,18.64,17.83,16.76,26.96,25.37,20.93,19.19,18.45,17.28,16.24,27.22,24.83,23.32,19.64,18.99,18.89,17.22,15.28,21.46,16.31,15.3,15.62,16.11,19.94,17.24,22.5,0.23,0.07,0.32,0.19,0.31,-0.26,-0.17,0.03,0.03,0.02,1.26,1.21,-0.11,0.49,-0.44,0.97,20.96,20.96,20.95,20.91,20.95,20.95,20.95,20.96
-106,2018-11-29 15:27:17,00:00:16,26.98,24.9,23.26,20.58,19.54,18.69,18.45,18.07,27.05,25.62,22.98,20.73,19.62,18.49,17.73,16.62,26.86,25.3,20.94,19.2,18.53,17.14,16.4,27.2,24.88,23.26,19.54,19.08,18.86,17.5,15.29,21.45,16.23,15.34,15.57,15.99,20.05,17.24,22.61,0.03,-0.32,-0.14,0.07,0.27,-0.51,0.32,-0.24,-0.18,-0.27,1.26,-0.44,0.7,-3.33,0.52,-1.98,20.96,20.97,20.96,20.91,20.96,20.95,20.95,20.96
