Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-121,2018-12-02 12:44:00,00:00:01,20.09,19.29,19.36,19.13,18.21,17.97,17.96,17.91,21.27,19.82,18.99,18.87,18.56,18.72,18.03,18.22,20.19,20.07,18.74,18.52,18.53,18.51,18.15,20.35,20.03,19.73,18.78,18.4,18.52,18.22,17.99,22.26,19.84,19.4,-0.13,0.31,0.03,0.04,0.04,2.23,-2.5,-0.34,-2.47,-0.98,-1.06,20.94,20.95,20.95,20.97,20.94,20.94,20.96
-120,2018-12-02 12:44:01,00:00:02,20.12,19.4,19.36,18.98,18.36,18.0,17.92,17.99,21.53,19.78,18.91,18.83,18.6,18.72,18.07,18.25,20.16,20.11,18.66,18.48,18.46,18.55,18.07,20.42,20.03,19.61,18.67,18.32,18.4,18.07,17.95,22.47,20.13,19.84,0.45,0.25,-0.24,-0.11,-0.08,-1.0,0.79,-0.34,1.35,-0.98,1.9,20.95,20.95,20.96,20.95,20.96,20.94,20.95
-119,2018-12-02 12:44:02,00:00:03,20.28,19.36,19.39,19.02,18.33,17.97,17.96,18.1,21.53,19.82,18.95,18.9,18.6,18.8,18.15,18.33,20.27,20.11,18.66,18.48,18.57,18.59,18.07,20.46,20.07,19.69,18.74,18.24,18.4,18.18,17.88,22.55,19.94,19.73,0.24,0.27,0.03,-0.09,-0.12,-2.62,-2.5,0.47,1.35,-0.02,-1.06,20.94,20.94,20.95,20.96,20.96,20.94,20.94
-118,2018-12-02 12:44:03,00:00:04,20.24,19.48,19.36,19.06,18.29,18.01,17.96,18.19,21.61,19.75,19.03,18.87,18.6,18.73,18.15,18.34,20.16,20.04,18.7,18.52,18.42,18.4,17.89,20.27,19.89,19.47,18.59,17.98,18.22,17.84,17.69,23.28,20.67,18.94,-0.13,0.34,-0.23,-0.11,-0.17,0.61,0.79,0.47,-2.47,-0.02,-2.53,20.95,20.95,20.96,20.92,20.95,20.94,20.95
-117,2018-12-02 12:44:04,00:00:05,20.31,19.36,19.28,18.98,18.36,18.0,17.96,18.07,21.57,19.59,18.84,18.56,18.6,18.34,18.11,18.06,20.42,20.11,18.51,18.63,18.34,18.13,18.19,20.46,20.18,19.8,19.01,18.4,18.59,18.22,18.18,22.18,19.38,18.1,0.47,0.61,-0.1,-0.16,-0.03,0.61,-0.86,-1.14,-0.56,-0.02,-1.06,20.95,20.94,20.96,20.9,20.95,20.94,20.94
-116,2018-12-02 12:44:05,00:00:06,20.28,19.33,19.44,18.91,18.33,17.86,18.08,18.22,21.65,19.71,19.53,19.52,18.64,18.54,18.04,18.07,20.31,20.23,18.74,18.56,18.58,18.63,18.15,20.54,20.15,19.88,19.01,18.44,18.52,18.3,18.19,21.83,19.3,18.52,0.26,0.39,0.0,0.13,-0.23,-2.62,-0.86,-0.34,-0.56,-0.98,0.42,20.95,20.95,20.96,20.95,20.95,20.95,20.95
-115,2018-12-02 12:44:06,00:00:07,20.25,19.38,19.34,19.07,18.3,18.06,18.01,18.16,21.7,19.42,18.89,18.88,18.69,18.81,18.24,18.38,20.32,20.28,18.75,18.49,18.62,18.72,18.2,20.32,20.2,19.9,19.29,18.41,18.61,18.27,18.16,21.95,19.42,18.59,0.37,0.4,0.12,0.03,0.07,-1.0,-2.5,-0.34,-4.38,-0.02,1.9,20.95,20.93,20.95,20.92,20.96,20.95,20.95
-114,2018-12-02 12:44:07,00:00:08,20.27,19.43,19.35,18.9,18.21,17.85,18.06,18.17,21.6,19.78,19.02,18.9,18.55,18.87,18.14,18.55,20.3,20.18,18.73,18.59,18.68,18.73,18.22,20.42,20.18,19.87,19.15,18.47,18.44,18.25,18.14,21.9,19.49,18.78,0.24,0.37,0.03,0.08,0.1,0.61,-0.86,-0.34,1.35,-0.98,-4.01,20.94,20.95,20.96,20.97,20.94,20.95,20.95
-113,2018-12-02 12:44:08,00:00:09,20.13,19.41,19.37,18.96,18.18,17.98,18.04,18.23,21.5,19.76,19.15,18.88,18.53,18.85,18.16,18.38,20.43,20.09,18.79,18.49,18.66,18.67,18.23,20.43,20.23,19.85,19.17,18.37,18.45,18.27,18.27,21.83,19.45,19.01,-0.17,0.34,-0.04,-0.05,0.01,0.61,2.44,-0.34,-2.47,1.89,-2.53,20.93,20.95,20.95,20.92,20.94,20.95,20.95
-112,2018-12-02 12:44:09,00:00:10,20.24,19.52,19.4,18.99,18.22,18.01,18.08,18.19,21.57,19.75,19.07,18.87,18.6,18.77,18.12,18.45,20.39,20.08,18.86,18.56,18.73,18.63,18.27,20.39,20.27,19.81,19.24,18.4,18.52,18.22,18.19,22.09,19.75,19.65,0.26,0.29,0.02,0.03,0.17,-2.62,-0.86,-0.34,-0.56,0.93,0.42,20.94,20.93,20.95,20.94,20.96,20.96,20.94
