Time,Timestamp,Elapsed Time,Heat Release Rate,Doorway Temperature 0.75 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Quadrant C Temperature 2.1 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-03 14:36:00,00:00:01,0.0,10.68,9.84,27.18,20.64,17.37,15.28,14.63,13.6,12.18,12.37,28.51,20.03,17.64,15.67,13.48,13.21,13.18,10.92,27.4,21.13,17.98,16.8,15.15,13.68,12.0,26.84,20.71,16.23,14.26,14.23,13.91,10.73,9.06,14.02,12.66,9.83,8.68,8.73,10.58,-0.37,-0.51,-0.5,-0.37,-0.24,-0.34,-0.46,-0.01,0.03,-0.02,1.26,0.64,-0.1,0.29,-1.33,-1.55,20.95,20.94,20.93,20.98,20.95,20.95,20.94
-119,2018-12-03 14:36:01,00:00:02,0.0,10.57,9.73,27.14,20.5,17.29,15.44,14.71,13.49,12.0,12.26,28.44,19.92,17.76,15.67,13.41,13.1,13.1,10.96,27.29,21.13,18.03,16.81,15.04,13.69,11.93,26.85,20.07,16.43,14.07,14.28,13.88,10.85,9.41,13.87,12.43,9.94,8.83,8.84,10.58,-0.41,-0.31,-0.13,-0.37,-0.21,-0.11,0.17,-0.01,-0.04,0.01,-0.36,0.64,0.71,0.29,0.58,1.74,20.95,20.95,20.95,20.99,20.96,20.95,20.94
-118,2018-12-03 14:36:02,00:00:03,0.0,10.69,9.81,27.18,20.57,17.44,15.32,14.59,13.6,12.15,12.34,28.44,19.88,17.71,15.67,13.48,13.14,13.14,10.92,27.06,21.2,18.06,16.8,15.07,13.6,11.85,26.69,19.95,16.35,14.11,14.31,13.76,11.22,9.67,13.91,12.36,9.83,8.83,8.73,10.58,-0.24,-0.46,0.19,-0.4,-0.31,-0.27,-0.38,0.05,0.06,0.06,1.26,-0.84,-0.1,0.29,0.58,1.74,20.96,20.94,20.95,20.94,20.95,20.95,20.93
-117,2018-12-03 14:36:03,00:00:04,0.0,10.57,9.69,27.21,20.46,17.48,15.51,14.66,13.83,12.15,12.22,28.32,19.96,17.64,15.67,13.37,13.06,13.06,10.99,27.1,20.94,18.1,16.95,15.03,13.64,11.85,26.77,20.14,16.23,14.18,14.2,13.84,10.92,9.55,13.88,12.48,9.8,8.84,8.92,10.47,-0.38,-0.3,-0.5,-0.4,-0.33,-0.31,-0.25,-0.07,-0.03,-0.06,-0.36,-0.84,-0.1,0.29,0.58,-1.55,20.94,20.95,20.95,20.97,20.95,20.95,20.94
-116,2018-12-03 14:36:04,00:00:05,0.0,10.53,9.76,27.13,20.37,17.32,15.39,14.7,13.82,12.22,12.14,28.35,19.95,17.56,15.7,13.44,13.09,13.09,10.95,27.43,20.93,17.94,16.8,15.18,13.64,11.96,26.72,20.21,16.3,14.06,14.11,13.87,10.88,9.7,13.95,12.55,9.76,8.95,8.92,10.47,-0.08,-0.57,-0.38,-0.41,-0.28,-0.4,-0.36,-0.05,-0.04,-0.02,1.26,-0.84,-0.1,0.29,-0.37,0.1,20.94,20.93,20.93,21.0,20.95,20.95,20.95
-115,2018-12-03 14:36:05,00:00:06,0.0,10.52,9.75,27.18,20.42,17.29,15.51,14.55,13.79,12.07,12.14,28.44,19.96,17.68,15.67,13.64,13.06,13.06,11.07,27.51,20.82,17.91,16.92,15.26,13.68,12.0,26.77,20.45,16.42,14.56,14.08,13.84,11.11,9.63,13.84,12.63,9.76,8.88,8.89,10.39,-0.16,0.3,-0.4,-0.4,0.13,-0.44,-0.37,0.11,0.07,0.04,-1.97,0.64,-0.9,-1.62,-0.37,-1.55,20.93,20.95,20.94,20.94,20.95,20.96,20.94
-114,2018-12-03 14:36:06,00:00:07,0.0,10.64,9.8,27.24,20.48,17.35,15.54,14.58,13.7,12.02,12.17,28.42,19.83,17.48,15.58,13.66,12.93,13.05,11.02,27.73,20.81,18.01,16.83,15.1,13.75,11.99,26.72,20.59,16.49,14.4,13.96,13.87,11.37,9.66,13.92,12.55,9.64,9.03,8.89,10.5,-0.16,-0.4,0.13,-0.4,-0.24,-0.29,-0.41,0.11,0.11,0.07,-0.36,-0.84,-0.9,2.2,-0.37,-1.55,20.95,20.95,20.94,20.99,20.95,20.95,20.94
-113,2018-12-03 14:36:07,00:00:08,0.0,10.69,9.69,27.14,20.57,17.37,15.4,14.48,13.72,11.88,12.23,28.25,19.96,17.61,15.56,13.64,12.8,12.91,10.89,27.63,20.68,17.91,16.88,15.07,13.76,12.05,26.77,20.79,16.62,14.26,14.09,13.81,11.0,9.6,14.0,12.6,9.81,9.0,8.82,10.67,-0.08,-0.21,-0.13,-0.37,-0.3,-0.36,-0.27,-0.04,-0.03,-0.04,1.26,-0.84,-0.1,0.29,0.58,3.39,20.94,20.95,20.94,20.96,20.97,20.96,20.94
-112,2018-12-03 14:36:08,00:00:09,0.0,10.49,9.68,27.18,20.57,17.29,15.59,14.59,13.71,11.96,12.14,28.36,19.84,17.56,15.44,13.37,12.87,12.83,10.88,27.78,20.63,17.95,16.84,15.18,13.87,12.23,26.77,20.94,16.61,14.34,14.08,13.88,10.5,9.59,14.07,12.55,9.76,8.99,8.89,10.5,0.12,-0.43,-0.53,-0.27,-0.43,-0.4,-0.27,0.04,-0.04,0.01,-0.36,-0.84,-0.1,0.29,-0.37,-1.55,20.95,20.95,20.95,20.94,20.95,20.95,20.93
-111,2018-12-03 14:36:09,00:00:10,0.0,10.65,9.5,27.28,20.6,17.28,15.5,14.66,13.48,11.91,12.18,28.32,19.95,17.48,15.13,13.36,12.82,12.9,10.95,27.81,20.78,17.98,16.87,15.18,13.79,12.26,26.76,20.74,16.68,14.52,14.15,13.64,10.49,9.74,13.92,12.71,9.68,9.15,8.85,10.58,-0.22,0.17,-0.49,-0.27,-0.37,-0.31,-0.27,-0.1,-0.07,-0.06,2.87,2.12,-0.9,-3.53,-1.33,0.1,20.96,20.95,20.93,20.94,20.95,20.95,20.93
