Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-05 17:34:00,00:00:00,27.47,22.08,20.1,17.63,17.21,16.03,15.5,28.43,21.73,20.52,18.82,17.25,16.6,15.8,15.11,28.86,22.79,20.56,19.57,17.46,17.26,16.15,28.61,22.52,20.37,18.36,17.92,17.18,16.06,15.27,20.75,17.85,19.96,17.87,-0.26,-0.37,-0.14,0.02,0.03,3.06,-1.17,1.26,0.34,1.36,1.48,20.95,20.94,20.95,20.99,20.96,20.94,20.94,20.94
-119,2018-12-05 17:34:01,00:00:01,27.28,22.23,20.28,17.62,17.28,15.99,15.53,28.31,21.73,20.4,19.0,17.4,16.59,15.79,15.11,29.05,22.93,20.59,19.64,17.49,17.25,16.22,28.6,22.48,20.4,18.51,17.99,17.06,16.17,15.27,20.78,17.92,19.12,18.51,-0.15,-0.45,-0.08,0.02,-0.01,1.45,3.27,-1.15,0.34,0.4,3.13,20.94,20.96,20.95,20.94,20.96,20.95,20.94,20.95
-118,2018-12-05 17:34:02,00:00:02,27.2,22.38,20.24,17.66,17.32,16.06,15.53,28.27,21.76,20.52,19.19,17.36,16.59,16.06,15.3,29.16,22.93,20.63,19.64,17.61,17.36,16.22,28.68,22.67,20.52,18.62,18.03,17.14,16.13,15.3,20.76,17.9,19.21,15.67,-0.31,-0.44,-0.0,0.02,0.05,-0.16,1.79,-0.35,0.34,-0.56,1.48,20.94,20.95,20.95,20.96,20.97,20.95,20.94,20.94
-117,2018-12-05 17:34:03,00:00:03,27.27,22.41,20.31,17.62,17.35,16.13,15.56,28.08,21.87,20.4,19.19,17.35,16.62,16.05,15.37,29.42,23.19,20.74,19.71,17.6,17.44,16.3,28.67,22.78,20.66,18.62,18.06,17.14,16.24,15.37,20.64,17.85,19.39,15.24,-0.41,-0.35,0.06,0.07,0.12,1.45,-1.17,-0.35,0.34,0.4,-0.17,20.95,20.94,20.95,20.97,20.96,20.95,20.96,20.94
-116,2018-12-05 17:34:04,00:00:04,27.29,22.46,20.44,17.79,17.56,16.04,15.65,27.76,21.85,20.34,19.13,17.56,16.76,16.07,15.38,29.51,23.21,20.91,19.92,17.58,17.49,16.35,28.84,22.87,20.83,18.83,18.16,17.15,16.33,15.54,20.56,17.89,19.24,15.24,-0.21,-0.4,-0.03,0.02,0.06,-1.78,-2.64,-0.35,2.25,0.4,1.48,20.94,20.95,20.95,20.98,20.93,20.94,20.95,20.94
-115,2018-12-05 17:34:05,00:00:05,27.23,22.64,20.35,17.88,17.54,16.06,15.71,27.55,21.91,20.4,19.23,17.58,16.66,16.28,15.4,29.57,23.27,21.12,19.9,17.76,17.4,16.37,28.9,22.89,20.82,19.0,18.22,17.17,16.43,15.53,20.72,17.82,19.43,15.28,-0.28,-0.41,-0.16,-0.16,-0.1,-1.78,-1.17,0.46,2.25,0.4,-0.17,20.95,20.95,20.94,20.98,20.94,20.93,20.94,20.95
-114,2018-12-05 17:34:06,00:00:06,27.31,22.68,20.46,17.77,17.51,16.13,15.67,27.63,21.91,20.47,19.26,17.7,16.74,16.4,15.56,29.76,23.38,21.31,19.94,17.76,17.47,16.45,29.01,22.93,20.97,19.0,18.25,17.21,16.32,15.64,20.72,17.93,19.36,15.44,-0.38,-0.41,-0.04,-0.08,0.04,-0.16,0.31,-0.35,-1.57,0.4,-0.17,20.94,20.97,20.94,21.0,20.95,20.94,20.93,20.95
-113,2018-12-05 17:34:07,00:00:07,27.5,22.68,20.31,17.81,17.62,16.02,15.79,27.63,21.87,20.47,19.42,17.81,16.93,16.4,15.67,30.06,23.38,21.39,20.09,17.76,17.44,16.41,29.01,23.04,20.89,19.11,18.44,17.29,16.55,15.83,20.64,17.93,19.43,15.4,-0.35,-0.41,-0.04,-0.04,-0.0,1.45,-1.17,0.46,-1.57,0.4,-0.17,20.94,20.95,20.95,20.99,20.93,20.95,20.93,20.96
-112,2018-12-05 17:34:08,00:00:08,27.96,22.68,20.47,17.97,17.55,16.29,15.91,27.67,21.8,20.67,19.42,17.78,16.9,16.4,15.71,30.18,23.58,21.58,20.25,17.84,17.52,16.61,29.02,23.05,20.94,19.27,18.3,17.29,16.55,15.91,20.48,17.96,19.43,15.62,-0.31,-0.37,-0.04,-0.05,0.03,-0.16,-1.17,-0.35,0.34,0.4,1.48,20.94,20.95,20.95,20.94,20.96,20.93,20.94,20.94
-111,2018-12-05 17:34:09,00:00:09,28.33,22.86,20.5,18.0,17.62,16.25,16.02,27.7,21.76,20.81,19.53,17.77,16.93,16.47,15.9,30.28,23.61,21.65,20.43,17.79,17.55,16.56,28.97,22.97,21.04,19.23,18.48,17.36,16.62,15.87,20.29,18.07,19.54,15.61,-0.31,-0.3,-0.12,-0.1,-0.08,1.45,1.79,0.46,-1.57,1.36,-0.17,20.95,20.96,20.94,20.98,20.95,20.97,20.94,20.94
