Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-122,2018-12-04 13:56:00,00:00:00,28.3,26.54,24.67,21.0,19.57,18.42,18.31,28.42,26.23,24.76,22.65,20.93,19.79,18.91,17.47,25.95,24.3,22.68,21.58,19.78,19.38,17.71,26.75,25.43,23.63,21.51,19.89,18.93,18.07,16.98,25.77,17.88,13.46,13.42,13.78,0.34,1.5,-0.86,-2.61,-0.02,-0.91,20.96,20.94,20.94,20.92,20.94,20.95,20.94,20.94
-121,2018-12-04 13:56:01,00:00:01,28.21,26.45,24.51,20.96,19.71,18.68,18.26,28.45,26.26,24.63,22.45,20.88,19.7,18.87,17.57,27.23,25.5,23.88,22.63,20.52,19.86,18.27,27.31,26.29,24.75,22.64,21.48,20.66,20.23,18.95,24.14,17.76,-0.67,-0.55,-0.31,-1.28,2.98,-0.06,-2.61,0.94,0.74,20.95,20.95,20.95,20.94,20.94,20.96,20.94,20.96
-120,2018-12-04 13:56:02,00:00:02,28.26,26.46,24.71,21.0,19.83,18.73,18.31,28.42,26.15,24.53,22.53,20.93,19.75,18.91,17.69,27.35,25.92,24.31,23.09,21.26,20.82,19.27,28.3,27.32,25.78,23.1,21.52,20.22,19.59,18.65,23.95,17.8,-2.63,-2.61,-2.38,0.34,1.5,-0.06,-0.7,-0.97,4.03,20.95,20.95,20.94,20.95,20.94,20.94,20.94,20.95
-119,2018-12-04 13:56:03,00:00:03,28.3,26.54,24.79,21.05,19.91,18.81,18.31,28.43,26.27,24.38,22.46,20.86,19.72,18.69,17.51,29.99,28.3,26.39,24.8,22.47,21.47,19.88,28.34,27.02,25.37,22.69,21.34,20.19,19.52,18.47,23.61,17.84,-0.28,-0.29,-0.05,-1.28,-1.45,-0.86,-0.7,-0.02,0.74,20.94,20.96,20.94,20.93,20.94,20.95,20.94,20.95
-118,2018-12-04 13:56:04,00:00:04,28.25,26.65,24.74,21.0,20.09,19.02,18.45,28.27,26.11,24.22,22.26,20.81,19.63,18.76,17.57,29.31,27.73,26.0,24.6,22.35,21.08,19.34,27.54,26.18,24.91,22.0,20.68,19.45,18.9,17.89,23.73,17.65,-0.32,-0.36,-0.13,1.95,0.02,-0.06,-2.61,-0.97,-2.55,20.95,20.94,20.94,20.96,20.94,20.95,20.94,20.94
-117,2018-12-04 13:56:05,00:00:05,28.36,26.56,24.66,21.07,20.12,18.98,18.64,28.26,26.03,24.14,22.22,20.73,19.55,18.83,17.72,28.66,27.04,25.32,23.76,21.55,20.85,19.22,27.46,26.21,24.86,22.03,20.57,19.45,18.9,17.96,23.31,17.8,-0.33,-0.33,-0.05,0.34,0.02,-0.86,-0.7,1.9,-0.91,20.95,20.96,20.94,20.95,20.94,20.95,20.96,20.95
-116,2018-12-04 13:56:06,00:00:06,28.3,26.58,24.75,21.16,20.25,19.07,18.57,28.31,25.96,24.23,22.34,20.74,19.56,18.88,17.85,28.26,26.6,24.87,23.51,21.29,20.63,18.93,27.47,26.04,24.8,21.74,20.42,19.19,18.61,17.86,23.05,17.89,-0.39,-0.45,-0.25,0.34,0.02,-0.86,-0.7,-0.02,0.74,20.95,20.94,20.94,20.94,20.94,20.94,20.95,20.95
-115,2018-12-04 13:56:07,00:00:07,28.38,26.58,24.83,21.16,20.29,19.15,18.54,28.39,26.05,24.35,22.27,20.82,19.6,19.07,17.97,28.11,26.68,24.84,23.51,21.26,20.3,18.78,27.4,26.19,24.92,21.25,20.7,19.5,18.84,18.01,23.1,18.28,-0.43,-0.43,-0.29,-2.89,0.02,-0.06,1.21,-0.97,-0.91,20.95,20.95,20.94,20.95,20.94,20.94,20.96,20.95
-114,2018-12-04 13:56:08,00:00:08,28.26,26.69,24.98,21.08,20.4,19.22,18.57,28.46,26.08,24.27,22.3,20.82,19.6,19.07,18.07,27.95,26.64,24.99,23.39,21.29,20.48,19.15,27.28,26.11,24.91,22.0,20.65,19.5,18.76,17.93,23.16,18.88,-0.4,-0.4,-0.21,-1.28,0.02,-0.06,-0.7,1.9,-0.91,20.94,20.94,20.94,20.91,20.94,20.95,20.95,20.95
-113,2018-12-04 13:56:09,00:00:09,28.45,26.61,24.79,21.12,20.48,19.26,18.72,28.31,26.08,24.23,22.42,20.89,19.63,19.22,18.0,28.18,26.64,24.84,23.24,21.1,20.4,19.12,27.47,26.07,24.99,22.15,20.73,19.57,18.83,17.93,23.43,19.75,-0.34,-0.33,-0.14,0.34,1.5,-0.06,3.12,-0.02,0.74,20.94,20.94,20.95,20.92,20.93,20.94,20.96,20.94
