Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-121,2018-12-06 15:50:00,00:00:01,33.9,25.98,22.53,18.74,18.78,17.18,16.53,34.3,25.07,22.76,20.91,18.85,17.74,17.52,16.3,33.53,26.2,22.16,21.13,19.14,18.44,17.38,32.94,26.95,21.82,20.04,19.18,18.06,16.75,16.53,22.62,23.55,20.5,16.05,0.3,0.41,0.05,0.08,0.13,0.39,-0.15,-0.61,1.12,0.13,-0.76,20.95,20.94,20.94,20.95,20.94,20.95,20.96,20.95
-120,2018-12-06 15:50:01,00:00:02,33.9,26.06,22.79,18.74,18.74,17.21,16.68,34.41,25.29,22.76,21.03,18.89,17.9,17.67,16.45,33.56,26.38,22.12,21.24,19.18,18.33,17.34,32.82,26.88,22.08,20.12,19.26,18.1,16.87,16.53,22.7,23.44,20.55,16.13,0.47,0.44,-0.12,0.08,0.07,-1.22,-0.15,0.2,-0.79,1.09,0.89,20.94,20.96,20.93,20.93,20.94,20.96,20.94,20.95
-119,2018-12-06 15:50:02,00:00:03,34.1,26.11,22.88,18.94,18.9,17.23,16.88,34.49,25.34,22.74,21.23,18.82,18.02,17.6,16.65,33.54,26.4,22.17,21.22,19.26,18.34,17.43,32.91,26.96,22.09,20.24,19.38,18.23,16.95,16.54,22.81,23.56,20.55,16.28,0.35,0.38,-0.1,-0.01,0.05,0.39,1.33,-1.41,1.12,1.09,-0.76,20.96,20.93,20.93,20.97,20.94,20.93,20.94,20.95
-118,2018-12-06 15:50:03,00:00:04,34.05,26.13,22.83,18.93,18.81,17.37,16.87,34.48,25.33,22.88,21.1,19.0,18.05,17.59,16.9,33.53,26.5,22.23,21.24,19.29,18.17,17.41,32.79,26.84,22.12,20.23,19.45,18.33,16.98,16.61,22.9,23.49,20.63,16.41,0.57,0.52,-0.08,-0.02,0.04,0.39,1.33,0.2,1.12,0.13,0.89,20.94,20.94,20.94,20.95,20.95,20.96,20.96,20.94
-117,2018-12-06 15:50:04,00:00:05,34.02,26.28,22.94,19.04,18.81,17.44,16.87,34.52,25.41,22.8,21.33,19.04,18.16,17.67,16.98,33.71,26.42,22.16,21.28,19.44,18.29,17.49,32.79,26.95,22.08,20.34,19.48,18.33,17.13,16.68,22.94,23.42,20.71,16.56,0.46,0.65,-0.11,-0.01,-0.0,-1.22,-1.63,1.0,4.95,1.09,0.89,20.94,20.96,20.94,20.99,20.94,20.96,20.95,20.96
-116,2018-12-06 15:50:05,00:00:06,33.99,26.29,22.87,19.16,18.86,17.56,16.88,34.6,25.45,22.88,21.3,19.09,18.32,17.83,17.1,33.57,26.54,22.32,21.29,19.52,18.44,17.53,32.79,26.77,22.01,20.46,19.6,18.41,17.25,16.77,23.05,23.49,20.74,16.71,0.45,0.56,-0.03,0.07,0.08,0.39,-1.63,0.2,-0.79,-0.83,-2.41,20.95,20.95,20.94,20.92,20.94,20.95,20.94,20.94
-115,2018-12-06 15:50:06,00:00:07,34.09,26.28,22.94,19.23,18.85,17.56,17.02,34.6,25.75,22.95,21.29,19.31,18.47,17.82,16.98,33.68,26.5,22.42,21.32,19.33,18.21,17.57,32.82,26.8,22.04,20.5,19.64,18.52,17.32,16.72,23.27,23.52,20.7,16.97,0.51,0.53,0.03,0.09,0.16,-1.22,1.33,0.2,-0.79,1.09,0.89,20.96,20.94,20.94,20.96,20.94,20.93,20.94,20.94
-114,2018-12-06 15:50:07,00:00:08,33.9,26.36,22.98,19.19,18.89,17.52,17.14,34.6,25.82,23.07,21.33,19.38,18.5,17.82,17.17,33.75,26.65,22.46,21.43,19.48,18.4,17.68,32.71,26.8,22.01,20.68,19.67,18.67,17.44,16.95,23.2,23.49,20.78,17.21,0.45,0.49,-0.07,0.02,0.12,2.01,-1.63,0.2,-2.7,0.13,0.89,20.94,20.93,20.93,20.96,20.94,20.95,20.94,20.93
-113,2018-12-06 15:50:08,00:00:09,33.95,26.22,22.95,19.24,18.79,17.64,17.11,34.57,26.17,22.96,21.45,19.39,18.59,17.91,17.11,33.73,26.58,22.59,21.33,19.49,18.45,17.69,32.72,26.77,22.09,20.7,19.69,18.64,17.45,17.0,23.17,23.57,20.86,17.36,0.38,0.49,-0.05,0.11,0.15,2.01,-0.15,1.0,1.12,-0.83,-0.76,20.95,20.93,20.94,20.96,20.93,20.96,20.94,20.95
-112,2018-12-06 15:50:09,00:00:10,33.94,26.25,22.98,19.23,18.81,17.48,17.25,34.56,26.28,23.07,21.67,19.38,18.73,17.82,17.17,33.75,26.5,22.58,21.47,19.6,18.48,17.76,32.75,26.88,22.35,20.76,19.67,18.79,17.55,16.95,23.12,23.56,20.81,17.54,0.41,0.43,-0.08,0.05,0.1,0.39,-0.15,1.0,1.12,-0.83,0.89,20.94,20.96,20.94,20.92,20.93,20.94,20.94,20.95
