Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-12 19:49:00,00:00:00,14.63,13.22,12.72,12.42,11.99,11.93,11.92,12.15,14.79,13.57,12.69,12.26,12.15,12.08,11.85,11.88,14.93,13.52,7.35,12.21,11.99,12.31,11.94,11.58,15.28,13.66,12.79,12.18,11.94,11.99,11.88,11.84,0.08,0.03,-0.02,-2.71,1.91,-0.48,0.96,-0.24,3.16,20.95,20.94,20.95,20.96,20.95,20.95,20.96,20.95
-119,2018-12-12 19:49:01,00:00:01,14.56,13.18,12.83,12.49,12.1,12.01,11.96,12.26,14.79,13.57,12.81,12.34,12.15,12.04,11.96,11.84,14.78,13.21,8.0,12.1,11.8,11.89,11.6,11.39,14.89,13.47,12.37,12.02,11.79,11.8,11.73,11.69,-0.01,-0.09,0.24,2.13,-3.03,0.32,2.87,-0.24,0.2,20.95,20.95,20.94,20.95,20.96,20.94,20.95,20.95
-118,2018-12-12 19:49:02,00:00:02,14.63,13.14,12.83,12.49,12.1,11.93,11.88,12.22,14.71,13.41,12.66,12.34,12.03,12.04,11.85,11.8,14.78,13.1,7.31,11.91,11.61,11.77,11.52,11.31,14.78,13.36,12.37,11.87,11.75,11.69,11.69,11.69,0.13,0.1,0.19,2.13,-1.38,-0.48,-0.96,0.71,1.68,20.95,20.96,20.94,20.92,20.96,20.95,20.95,20.96
-117,2018-12-12 19:49:03,00:00:03,14.71,13.18,12.76,12.46,12.15,12.02,12.0,12.19,14.6,13.34,12.62,12.23,12.11,12.12,11.74,11.85,14.18,12.68,7.51,11.57,11.15,11.36,11.19,10.9,14.33,13.14,12.14,11.69,11.53,11.77,11.58,11.74,0.31,0.19,0.17,-1.09,3.56,0.32,2.87,-1.2,0.2,20.95,20.95,20.94,20.97,20.96,20.95,20.94,20.95
-116,2018-12-12 19:49:04,00:00:04,14.63,13.17,12.75,12.57,12.13,12.0,11.88,12.14,14.71,13.37,12.69,12.3,11.99,12.0,11.92,11.72,14.16,12.59,6.58,11.44,10.99,11.31,11.25,11.08,14.43,13.01,12.21,11.71,11.67,11.83,11.84,11.88,0.14,0.02,0.15,0.52,0.27,-0.48,-0.96,1.67,-1.28,20.95,20.95,20.94,20.97,20.95,20.95,20.96,20.95
-115,2018-12-12 19:49:05,00:00:05,14.64,13.3,12.69,12.58,12.15,11.98,11.93,12.19,14.64,13.38,12.62,12.35,12.11,12.16,11.81,11.85,14.06,12.61,7.74,11.53,11.04,11.44,11.26,11.13,14.52,13.25,12.29,11.88,11.91,11.96,11.88,11.96,-0.14,-0.16,-0.06,0.52,1.91,-1.29,-0.96,0.71,-2.76,20.96,20.96,20.94,20.89,20.95,20.95,20.96,20.95
-114,2018-12-12 19:49:06,00:00:06,14.63,13.21,12.71,12.6,12.21,12.12,11.95,12.37,14.78,13.52,12.69,12.37,12.22,12.23,11.99,11.83,15.12,13.55,7.62,12.4,12.25,12.34,12.24,12.15,15.46,14.08,13.05,12.59,12.32,12.41,12.29,12.3,-0.1,-0.16,-0.21,0.52,-3.03,0.32,-0.96,0.71,-2.76,20.95,20.94,20.94,20.94,20.94,20.96,20.95,20.96
-113,2018-12-12 19:49:07,00:00:07,14.59,13.29,12.79,12.61,12.18,12.05,12.0,12.26,14.9,13.57,12.66,12.3,12.15,12.27,12.04,11.95,15.01,13.63,8.2,12.36,12.03,12.27,12.25,12.04,15.31,13.93,13.01,12.37,12.21,12.3,12.11,12.19,0.08,0.0,-0.06,0.52,-3.03,-0.48,0.96,-0.24,1.68,20.95,20.94,20.96,20.95,20.95,20.95,20.94,20.95
-112,2018-12-12 19:49:08,00:00:08,14.62,13.32,12.78,12.6,12.24,12.08,12.03,12.25,14.7,13.52,12.61,12.48,12.17,12.34,12.07,12.1,14.96,13.58,7.57,12.39,12.13,12.22,12.09,11.95,15.3,13.92,12.93,12.32,12.12,12.32,12.02,12.02,-0.01,-0.1,-0.03,-1.09,0.27,-0.48,0.96,0.71,1.68,20.94,20.94,20.94,20.89,20.95,20.96,20.94,20.95
-111,2018-12-12 19:49:09,00:00:09,14.59,13.22,12.79,12.42,12.18,11.97,12.04,12.26,14.67,13.49,12.66,12.49,12.22,12.23,12.04,11.99,14.97,13.59,7.51,12.33,11.95,12.27,11.98,11.77,15.08,13.78,12.75,12.29,12.06,12.03,12.03,11.92,0.18,0.24,0.25,-1.09,0.27,0.32,0.96,0.71,0.2,20.95,20.94,20.95,20.95,20.94,20.96,20.94,20.95
