Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-12 18:44:00,00:00:01,21.36,18.68,17.83,15.7,15.32,14.75,14.86,20.95,18.33,17.45,16.51,15.55,14.78,14.33,14.36,21.17,19.05,17.53,16.62,15.19,15.21,14.98,21.86,19.09,18.07,16.74,16.37,15.71,14.86,14.79,18.04,16.27,16.97,14.8,-0.1,0.11,0.01,0.04,0.02,-1.48,0.71,0.48,0.74,-1.03,0.33,20.96,20.94,20.95,20.98,20.96,20.96,20.95,20.95
-119,2018-12-12 18:44:01,00:00:02,21.44,18.68,17.8,15.78,15.37,14.71,14.86,20.96,18.34,17.42,16.59,15.59,14.71,14.33,14.44,21.06,19.09,17.42,16.93,15.2,15.26,15.07,21.86,19.05,17.99,16.63,16.3,15.64,14.79,14.87,18.07,16.11,16.97,15.02,0.1,0.11,-0.04,0.01,-0.08,0.14,-0.76,1.28,0.74,-0.07,0.33,20.96,20.97,20.94,20.94,20.96,20.95,20.96,20.94
-118,2018-12-12 18:44:02,00:00:03,21.39,18.66,17.78,15.76,15.46,14.85,14.85,20.98,18.47,17.48,16.61,15.54,14.81,14.32,14.42,21.23,19.0,17.45,16.8,15.29,15.24,14.94,21.84,19.08,18.05,16.47,16.4,15.63,14.92,15.01,18.26,16.26,17.08,15.02,0.25,0.18,-0.16,-0.14,-0.23,1.75,2.19,-0.33,0.74,0.89,1.98,20.96,20.96,20.94,20.89,20.96,20.96,20.94,20.94
-117,2018-12-12 18:44:03,00:00:04,21.39,18.67,17.71,15.77,15.47,14.74,14.93,20.95,18.36,17.41,16.62,15.51,14.81,14.47,14.47,21.09,18.93,17.49,16.73,15.22,15.28,15.09,21.89,19.16,18.14,16.89,16.37,15.63,14.85,15.05,18.18,16.22,17.04,15.02,0.18,0.15,-0.1,-0.05,-0.05,-1.48,-0.76,0.48,-1.17,-1.03,0.33,20.95,20.95,20.94,20.99,20.95,20.96,20.95,20.94
-116,2018-12-12 18:44:04,00:00:05,21.24,18.68,17.75,15.78,15.51,14.75,14.86,21.06,18.37,17.53,16.66,15.59,14.86,14.4,14.63,21.05,19.05,17.42,16.92,15.15,15.29,15.18,21.86,19.16,18.1,16.63,16.53,15.6,15.05,15.06,18.29,16.26,17.15,15.02,0.23,0.18,-0.04,-0.02,0.06,-3.09,2.19,0.48,-1.17,-1.03,-1.31,20.95,20.94,20.95,20.97,20.95,20.96,20.94,20.94
-115,2018-12-12 18:44:05,00:00:06,21.39,18.78,17.94,15.77,15.39,14.78,14.89,21.02,18.4,17.49,16.54,15.58,14.93,14.44,14.62,21.16,18.97,17.49,16.84,15.3,15.28,15.17,21.81,19.23,18.1,16.93,16.52,15.71,14.97,15.09,18.17,16.29,17.07,15.01,0.18,0.04,0.03,0.05,0.13,1.75,0.71,0.48,0.74,0.89,-1.31,20.96,20.94,20.95,20.98,20.95,20.94,20.95,20.94
-114,2018-12-12 18:44:07,00:00:07,21.43,18.82,17.97,15.85,15.51,14.86,15.01,21.1,18.48,17.56,16.7,15.7,14.78,14.63,14.66,21.16,18.97,17.49,16.88,15.22,15.32,15.13,21.81,19.16,18.14,16.74,16.56,15.75,14.93,15.05,18.25,16.48,17.22,15.09,0.21,0.21,-0.1,-0.06,-0.07,-1.48,-0.76,1.28,-1.17,0.89,1.98,20.96,20.95,20.95,20.97,20.96,20.96,20.95,20.95
-113,2018-12-12 18:44:08,00:00:08,21.43,18.87,17.87,15.93,15.48,14.86,15.01,21.14,18.41,17.57,16.62,15.63,14.9,14.48,14.66,20.98,19.05,17.49,16.81,15.23,15.25,15.18,21.93,19.12,18.22,16.9,16.53,15.83,15.05,15.09,18.25,16.37,17.3,15.09,0.18,0.21,-0.19,-0.09,-0.17,-1.48,-0.76,-0.33,2.66,-0.07,0.33,20.95,20.95,20.96,20.94,20.96,20.96,20.95,20.95
-112,2018-12-12 18:44:09,00:00:09,21.52,18.8,17.91,15.82,15.56,14.9,15.09,21.15,18.53,17.46,16.52,15.67,14.98,14.56,14.78,21.17,19.01,17.46,16.85,15.31,15.37,15.22,21.86,19.13,18.11,16.9,16.53,15.83,15.09,15.1,18.17,16.44,17.19,15.2,0.27,0.15,-0.16,-0.11,-0.11,1.75,-0.76,-0.33,-1.17,-0.07,0.33,20.96,20.95,20.95,20.98,20.94,20.96,20.95,20.94
-111,2018-12-12 18:44:10,00:00:10,21.47,18.78,17.97,15.96,15.39,14.86,15.04,20.98,18.55,17.52,16.7,15.66,14.97,14.59,15.0,21.16,19.0,17.53,16.88,15.41,15.36,15.32,21.77,19.31,18.1,17.16,16.64,15.86,15.19,15.24,18.28,16.36,17.22,14.97,0.15,0.18,-0.04,-0.05,0.08,1.75,-0.76,-0.33,0.74,0.89,0.33,20.94,20.96,20.95,20.93,20.95,20.96,20.96,20.95
