Time,Timestamp,Elapsed Time,Doorway Temperature 0.75 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-151,2018-12-17 12:24:29,00:00:00,12.86,14.8,17.82,16.58,16.15,14.78,14.25,13.82,13.97,18.06,16.46,16.49,16.12,15.16,14.62,13.9,13.86,16.49,14.97,14.71,14.71,13.58,13.37,13.26,18.43,16.57,15.58,14.79,14.84,14.64,12.98,12.99,14.12,13.75,14.2,14.04,13.48,18.75,18.77,18.79,14.87,-0.36,-0.26,0.39,-0.13,-0.13,-0.05,0.14,0.4,0.24,-0.15,-0.01,-0.14,-0.77,-0.44,-0.72,-0.6,3.13,-0.53,20.96,20.95,20.94,20.98,20.95,20.95,20.95,20.96
-150,2018-12-17 12:24:30,00:00:01,16.63,18.53,17.85,16.53,16.1,14.81,14.36,13.97,13.89,18.01,16.53,16.3,15.89,15.08,14.5,13.82,13.89,17.51,15.69,15.04,15.04,13.58,13.41,13.33,18.69,16.94,16.26,15.66,16.06,16.01,14.81,15.27,14.15,13.79,14.24,14.27,13.44,18.1,17.78,17.57,14.64,-0.31,-0.18,-0.19,-0.13,-0.13,-0.12,0.14,0.3,0.16,0.2,0.11,0.17,-0.77,1.04,0.09,-0.6,0.25,1.12,20.96,20.94,20.93,21.01,20.94,20.94,20.95,20.97
-149,2018-12-17 12:24:31,00:00:02,14.95,16.32,17.74,16.5,16.15,14.82,14.63,14.01,14.01,18.09,16.53,16.38,15.97,14.93,14.43,13.67,13.78,18.12,16.8,16.73,16.95,15.87,15.89,16.12,20.67,18.32,17.22,16.28,16.37,16.35,14.96,14.82,14.08,13.67,14.2,14.04,13.29,18.18,17.74,17.19,14.18,-0.3,0.38,0.22,0.26,0.16,0.17,0.2,0.2,0.24,-0.34,-0.21,-0.27,2.46,-0.44,0.09,1.31,0.25,-0.53,20.95,20.93,20.94,20.91,20.95,20.95,20.94,20.96
-148,2018-12-17 12:24:32,00:00:03,13.43,14.8,17.88,16.41,16.14,14.96,14.66,14.08,14.12,17.97,16.41,16.1,15.73,14.65,14.31,13.47,13.66,20.88,18.8,17.97,17.59,16.09,15.65,15.39,20.17,18.19,17.17,16.34,16.36,15.92,14.42,13.93,14.2,13.87,14.16,13.94,13.14,18.18,17.71,16.86,14.49,-0.35,0.42,0.19,0.19,0.12,0.17,0.23,0.2,-0.09,0.13,0.12,0.09,2.46,-0.44,-0.72,-0.6,0.25,-2.18,20.95,20.95,20.95,20.99,20.95,20.95,20.96,20.95
-147,2018-12-17 12:24:33,00:00:04,12.65,13.68,17.78,16.57,15.99,15.12,14.78,14.24,14.16,18.01,16.42,15.92,15.62,14.62,14.2,13.48,13.81,19.83,17.82,17.06,16.95,15.37,14.74,14.36,19.22,17.17,16.38,15.47,15.37,15.24,13.81,13.4,14.08,13.94,14.2,13.89,13.1,18.29,17.63,16.96,14.14,-0.42,-0.47,0.16,-0.08,-0.2,0.14,0.35,0.27,0.12,-0.13,-0.14,-0.08,0.85,-0.44,0.09,1.31,0.25,-2.18,20.96,20.95,20.95,20.98,20.95,20.95,20.95,20.95
-146,2018-12-17 12:24:34,00:00:05,11.48,12.85,17.81,16.61,16.03,15.12,14.93,14.35,14.2,18.05,16.42,16.03,15.58,14.7,14.2,13.63,13.89,18.72,17.06,16.53,16.41,14.95,14.44,14.29,19.07,17.02,16.15,15.47,15.37,15.05,13.55,13.29,14.16,13.94,13.9,13.74,12.99,18.22,17.48,16.32,14.11,-0.35,-0.4,-0.32,-0.26,0.19,0.29,0.25,0.2,0.05,0.08,0.11,0.06,2.46,1.04,0.09,-0.6,-0.71,-0.53,20.95,20.95,20.94,20.92,20.95,20.96,20.96,20.96
-145,2018-12-17 12:24:35,00:00:06,12.13,13.42,17.67,16.54,15.99,15.08,14.86,14.21,14.13,17.87,16.38,16.11,15.59,14.67,14.28,13.63,13.74,18.62,17.02,16.46,16.34,14.99,14.37,14.14,18.85,16.68,15.7,15.06,15.15,15.02,13.74,13.1,14.24,13.99,14.25,13.83,13.07,17.96,17.41,16.4,14.11,-0.31,0.09,-0.12,0.32,0.26,0.17,0.37,0.08,-0.09,-0.22,-0.13,-0.18,0.85,-0.44,0.09,3.22,-0.71,-0.53,20.95,20.95,20.95,20.91,20.95,20.94,20.95,20.95
-144,2018-12-17 12:24:36,00:00:07,13.01,13.77,17.7,16.46,15.99,15.19,14.82,14.2,14.16,17.9,16.34,15.99,15.62,14.77,14.27,13.67,13.7,18.57,16.83,15.88,15.54,14.45,13.94,13.94,19.07,17.21,16.23,15.28,15.52,15.28,13.81,13.1,14.2,13.9,14.24,13.86,13.07,17.76,17.37,16.28,14.41,-0.33,0.23,0.44,0.3,0.26,0.41,0.31,0.08,0.05,-0.07,-0.04,-0.08,-2.38,-1.92,-1.52,1.31,0.25,1.12,20.95,20.94,20.95,20.98,20.95,20.95,20.96,20.96
-143,2018-12-17 12:24:37,00:00:08,13.2,13.84,17.73,16.45,15.94,15.15,14.85,14.19,14.12,17.93,16.26,16.03,15.69,14.77,14.19,13.58,13.88,18.45,17.05,16.3,16.18,14.87,14.28,14.05,18.91,17.01,16.18,15.28,15.21,15.09,13.62,12.98,14.34,13.94,14.2,13.78,12.98,17.61,17.59,16.51,15.48,-0.36,0.29,-0.26,0.32,-0.08,0.37,0.31,0.08,0.16,-0.16,-0.08,-0.1,0.85,1.04,-0.72,-0.6,0.25,1.12,20.96,20.95,20.95,20.93,20.95,20.95,20.94,20.96
-142,2018-12-17 12:24:38,00:00:09,13.73,14.03,17.67,16.35,15.96,15.2,14.9,14.17,13.94,17.8,16.35,15.93,15.67,14.75,14.17,13.75,13.71,18.39,16.88,16.2,16.16,14.81,14.14,14.07,18.89,16.96,16.24,15.29,15.04,15.1,13.63,13.07,14.34,13.9,14.08,13.85,12.98,18.48,18.08,16.74,15.78,-0.36,-0.11,-0.28,0.39,0.33,0.34,0.37,0.13,0.05,0.22,0.13,0.23,-0.77,-1.92,-0.72,1.31,0.25,-0.53,20.96,20.95,20.94,20.94,20.96,20.95,20.94,20.95
