Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Plume Temperature 0.65 m Below Ceiling,Plume Temperature 1.3 m Below Ceiling,Plume Velocity 0.65 m Below Ceiling,Plume Velocity 1.3 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-120,2018-12-19 10:51:00,00:00:01,25.54,25.23,25.11,24.74,24.01,23.54,23.57,23.75,25.31,25.31,24.98,24.4,24.09,23.69,23.42,23.15,25.19,25.19,24.61,24.08,24.01,23.92,23.4,23.38,25.57,25.41,24.84,24.46,23.93,23.75,23.57,23.26,25.63,25.07,-0.1,0.2,-0.3,-0.25,-0.18,2.27,0.08,-0.41,2.67,-0.01,0.36,20.96,20.96,20.95,20.95,20.95,20.95,20.96,20.95
-119,2018-12-19 10:51:01,00:00:02,25.39,25.23,25.08,24.74,24.05,23.62,23.57,23.64,25.35,25.16,24.86,24.48,24.13,23.69,23.38,23.07,25.15,25.22,24.61,24.12,24.01,23.88,23.48,23.38,25.61,25.48,24.92,24.35,24.08,23.75,23.45,23.34,25.9,25.07,0.24,0.2,-0.27,-0.11,-0.18,-0.96,-1.56,1.19,-3.06,-0.97,-2.59,20.95,20.96,20.95,20.99,20.95,20.96,20.96,20.96
-118,2018-12-19 10:51:02,00:00:03,25.45,25.15,24.99,24.73,23.96,23.57,23.52,23.63,25.19,25.0,24.78,24.39,24.08,23.37,23.29,22.95,25.1,25.21,24.52,24.03,23.89,23.83,23.05,23.41,25.67,25.4,24.68,24.38,23.69,23.66,23.37,23.22,25.86,25.15,-0.1,0.13,0.2,0.17,0.13,0.66,0.08,0.39,-3.06,-0.01,0.36,20.96,20.96,20.95,20.92,20.95,20.95,20.96,20.96
-117,2018-12-19 10:51:03,00:00:04,25.34,25.15,25.1,24.66,24.0,23.53,23.56,23.67,25.19,24.92,24.82,24.39,24.08,23.37,23.26,23.1,25.1,25.18,24.6,24.0,23.85,23.98,23.05,23.29,25.67,25.32,24.72,24.26,23.84,23.59,23.33,23.18,26.01,25.31,0.11,0.07,0.33,0.27,0.2,0.66,-3.21,0.39,-1.15,-0.01,-1.12,20.97,20.96,20.94,20.94,20.95,20.95,20.96,20.95
-116,2018-12-19 10:51:05,00:00:05,25.42,25.19,25.07,24.77,24.08,23.54,23.56,23.75,25.38,25.04,24.75,24.28,24.05,23.38,23.22,22.95,25.0,25.14,24.53,23.93,23.89,23.83,23.06,23.41,25.64,25.37,24.72,24.23,23.77,23.63,23.37,23.22,25.87,25.16,-0.1,-0.07,0.35,0.13,0.19,-0.96,-1.56,-0.41,4.58,-0.97,0.36,20.97,20.95,20.96,20.96,20.95,20.94,20.95,20.95
-115,2018-12-19 10:51:06,00:00:06,25.39,25.27,25.15,24.67,23.94,23.58,23.46,23.72,25.16,24.97,24.79,24.25,24.09,23.42,23.31,23.0,25.15,25.19,24.53,23.93,23.82,23.92,23.02,23.34,25.57,25.37,24.77,24.39,23.86,23.56,23.41,23.23,25.98,25.42,0.24,0.07,0.24,0.24,0.16,0.66,0.08,0.39,-1.15,-0.97,0.36,20.96,20.96,20.95,20.92,20.96,20.94,20.95,20.97
-114,2018-12-19 10:51:07,00:00:07,25.42,25.04,25.07,24.74,23.97,23.46,23.56,23.6,25.2,25.0,24.9,24.32,24.01,23.46,23.22,22.88,25.19,25.14,24.53,23.96,23.78,23.87,22.94,23.34,25.64,25.33,24.68,24.35,23.85,23.44,23.33,23.18,25.89,25.41,0.28,0.07,0.21,0.2,0.09,0.66,1.73,0.39,0.76,-0.01,1.84,20.94,20.96,20.94,20.93,20.95,20.95,20.95,20.96
-113,2018-12-19 10:51:08,00:00:08,25.46,25.19,25.07,24.77,23.86,23.57,23.49,23.6,25.16,24.97,24.82,24.24,24.05,23.38,23.34,22.88,25.07,25.11,24.45,23.89,23.67,23.8,22.98,23.38,25.68,25.33,24.72,24.38,23.89,23.52,23.41,23.07,25.97,25.57,0.18,-0.17,0.26,0.19,0.13,0.66,1.73,-1.22,-1.15,-0.01,1.84,20.96,20.97,20.95,20.93,20.95,20.94,20.96,20.96
-112,2018-12-19 10:51:09,00:00:09,25.42,25.0,24.88,24.81,24.12,23.65,23.64,23.64,25.2,24.97,24.71,24.28,24.01,23.42,23.34,22.91,25.0,25.18,24.49,23.93,23.78,23.76,22.94,23.41,25.6,25.14,24.84,24.31,23.81,23.52,23.37,23.18,25.98,25.5,-0.18,-0.07,0.2,0.2,0.18,-0.96,0.08,-0.41,0.76,0.95,0.36,20.96,20.96,20.95,20.96,20.95,20.96,20.96,20.96
-111,2018-12-19 10:51:10,00:00:10,25.61,25.19,25.07,24.7,24.01,23.57,23.6,23.64,25.27,25.04,24.33,24.02,24.13,23.76,23.26,23.07,25.03,25.14,24.42,23.96,23.82,23.95,22.94,23.38,25.68,25.25,24.61,24.27,23.85,23.56,23.41,23.11,25.94,25.61,-0.1,-0.22,0.19,0.18,0.13,-0.96,-1.56,-0.41,2.67,1.91,0.36,20.97,20.96,20.94,20.93,20.94,20.95,20.96,20.96
