Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-119,2018-12-11 12:00:01,00:00:01,16.11,14.58,14.08,13.86,13.58,13.22,13.06,13.24,15.84,14.81,14.13,13.85,13.7,13.25,12.87,12.82,16.41,14.95,8.91,13.57,13.46,13.1,13.15,13.36,16.94,15.83,14.76,14.3,13.84,13.74,13.62,13.4,-0.06,-0.0,-0.04,-1.1,1.87,-0.43,1.09,1.65,-1.33,20.95,20.95,20.95,20.93,20.95,20.95,20.95,20.94
-118,2018-12-11 12:00:02,00:00:02,15.99,14.58,14.16,13.82,13.54,13.3,13.09,13.32,15.88,14.85,14.09,13.85,13.62,13.21,12.94,12.97,17.01,15.45,10.4,13.76,13.66,13.37,13.27,13.32,16.94,15.64,14.64,14.15,13.8,13.74,13.7,13.55,0.15,0.25,0.15,2.13,0.23,-1.23,1.09,-1.23,0.15,20.94,20.97,20.94,20.97,20.95,20.95,20.95,20.95
-117,2018-12-11 12:00:03,00:00:03,16.16,14.48,14.17,13.87,13.55,13.27,13.07,13.44,15.97,14.86,14.14,13.79,13.79,13.22,12.92,13.06,16.87,15.27,10.26,13.78,13.67,13.38,13.39,13.37,16.91,15.72,14.62,14.31,13.78,13.67,13.75,13.48,0.27,0.43,0.35,-1.1,0.23,0.38,-0.82,-1.23,1.63,20.95,20.95,20.95,20.92,20.95,20.95,20.95,20.95
-116,2018-12-11 12:00:04,00:00:04,16.16,14.51,14.17,13.87,13.63,13.34,13.1,13.41,16.01,14.98,14.03,13.79,13.63,13.42,12.92,12.91,16.23,14.77,9.27,13.39,13.17,13.03,12.94,13.07,16.61,15.3,14.35,13.86,13.43,13.4,13.52,13.18,0.13,0.2,0.13,2.13,-1.42,-0.43,1.09,0.69,1.63,20.96,20.93,20.94,20.95,20.94,20.95,20.95,20.95
-115,2018-12-11 12:00:05,00:00:05,16.11,14.55,14.05,13.9,13.47,13.34,13.18,13.36,16.12,14.9,14.14,13.86,13.55,13.33,12.95,13.02,16.41,14.96,10.02,13.39,13.39,13.1,12.93,13.14,16.6,15.34,14.31,13.85,13.5,13.47,13.67,13.44,0.12,0.24,0.16,2.13,0.23,0.38,-0.82,-0.27,1.63,20.93,20.94,20.95,20.93,20.96,20.95,20.94,20.95
-114,2018-12-11 12:00:06,00:00:06,15.99,14.46,14.11,13.89,13.46,13.4,13.13,13.24,15.99,14.92,14.01,13.77,13.66,13.25,12.94,13.04,16.36,15.06,10.24,13.45,13.42,13.09,13.03,13.32,16.74,15.55,14.71,14.26,13.99,13.84,13.81,13.62,-0.07,0.01,0.07,0.51,1.87,-0.43,-2.73,0.69,3.11,20.95,20.95,20.95,20.9,20.95,20.95,20.95,20.95
-113,2018-12-11 12:00:07,00:00:07,15.99,14.54,14.07,13.93,13.42,13.56,13.13,13.35,15.99,14.92,14.09,13.77,13.62,13.21,13.09,13.12,16.44,15.14,8.64,13.57,13.61,13.28,13.26,13.47,16.97,15.71,14.83,14.22,13.8,13.77,13.66,13.51,-0.15,-0.08,-0.18,2.13,0.23,-0.43,-0.82,-0.27,-1.33,20.97,20.94,20.95,20.96,20.94,20.95,20.95,20.95
-112,2018-12-11 12:00:08,00:00:08,16.06,14.54,14.04,14.0,13.5,13.33,13.09,13.35,16.07,14.88,14.05,13.81,13.69,13.28,13.01,13.01,16.44,15.18,9.63,13.61,13.61,13.25,13.26,13.36,17.05,15.67,14.87,14.3,13.76,13.77,13.66,13.51,0.15,0.16,-0.08,-1.1,1.87,0.38,-0.82,0.69,-1.33,20.95,20.94,20.94,20.96,20.95,20.94,20.95,20.95
-111,2018-12-11 12:00:09,00:00:09,16.08,14.63,14.01,13.91,13.44,13.38,13.18,13.37,16.2,14.98,14.22,13.83,13.67,13.34,13.18,13.14,16.53,15.12,9.76,13.58,13.55,13.38,13.36,13.49,17.06,15.8,14.81,14.31,13.81,13.75,13.86,13.6,0.07,0.21,-0.07,-1.1,-1.42,-0.43,-2.73,0.69,0.15,20.95,20.95,20.95,20.99,20.95,20.95,20.95,20.95
-110,2018-12-11 12:00:10,00:00:10,16.04,14.62,14.12,13.94,13.47,13.42,13.25,13.52,16.04,14.93,14.06,13.78,13.7,13.37,13.14,13.09,16.87,15.61,8.61,13.96,13.93,13.64,13.39,13.44,16.91,15.64,14.69,14.15,13.73,13.74,13.78,13.63,-0.08,0.06,0.04,-2.72,0.23,-0.43,-2.73,-0.27,1.63,20.95,20.95,20.93,20.96,20.95,20.96,20.95,20.95
