Time,Timestamp,Elapsed Time,Quadrant A Temperature 25 mm Below Ceiling,Quadrant A Temperature 0.3 m Below Ceiling,Quadrant A Temperature 0.6 m Below Ceiling,Quadrant A Temperature 0.9 m Below Ceiling,Quadrant A Temperature 1.2 m Below Ceiling,Quadrant A Temperature 1.5 m Below Ceiling,Quadrant A Temperature 1.8 m Below Ceiling,Quadrant A Temperature 2.1 m Below Ceiling,Quadrant B Temperature 25 mm Below Ceiling,Quadrant B Temperature 0.3 m Below Ceiling,Quadrant B Temperature 0.6 m Below Ceiling,Quadrant B Temperature 0.9 m Below Ceiling,Quadrant B Temperature 1.2 m Below Ceiling,Quadrant B Temperature 1.5 m Below Ceiling,Quadrant B Temperature 1.8 m Below Ceiling,Quadrant B Temperature 2.1 m Below Ceiling,Quadrant C Temperature 25 mm Below Ceiling,Quadrant C Temperature 0.3 m Below Ceiling,Quadrant C Temperature 0.6 m Below Ceiling,Quadrant C Temperature 0.9 m Below Ceiling,Quadrant C Temperature 1.2 m Below Ceiling,Quadrant C Temperature 1.5 m Below Ceiling,Quadrant C Temperature 1.8 m Below Ceiling,Quadrant C Temperature 2.1 m Below Ceiling,Quadrant D Temperature 25 mm Below Ceiling,Quadrant D Temperature 0.3 m Below Ceiling,Quadrant D Temperature 0.6 m Below Ceiling,Quadrant D Temperature 0.9 m Below Ceiling,Quadrant D Temperature 1.2 m Below Ceiling,Quadrant D Temperature 1.5 m Below Ceiling,Quadrant D Temperature 1.8 m Below Ceiling,Quadrant D Temperature 2.1 m Below Ceiling,Doorway Temperature 0.25 m Below Lintel,Doorway Temperature 0.50 m Below Lintel,Doorway Temperature 1.00 m Below Lintel,Doorway Temperature 1.25 m Below Lintel,Doorway Temperature 1.50 m Below Lintel,Doorway Temperature 1.75 m Below Lintel,Doorway Temperature 0.75 m Below Lintel,Doorway Velocity 0.25 m Below Lintel,Doorway Velocity 0.50 m Below Lintel,Doorway Velocity 0.75 m Below Lintel,Doorway Velocity 1.00 m Below Lintel,Doorway Velocity 1.25 m Below Lintel,Doorway Velocity 1.50 m Below Lintel,Doorway Velocity 1.75 m Below Lintel,Quadrant C Pressure 0.3 m Below Ceiling,Quadrant C Pressure 1.2 m Below Ceiling,Quadrant C Pressure 2.1 m Below Ceiling,Plume Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 0.65 m Below Ceiling,Right Side Wall Total Heat Flux 1.3 m Below Ceiling,Right Side Wall Radiant Heat Flux 0.65 m Below Ceiling,Right Side Wall Radiant Heat Flux 1.3 m Below Ceiling,Plume Total Heat Flux 1.3 m Below Ceiling,Quad A Oxygen 1.8 m Below Ceiling,Quad A Oxygen 0.6 m Below Ceiling,Quad B Oxygen 0.6 m Below Ceiling,Quad B Oxygen 1.8 m Below Ceiling,Quad C Oxygen 0.6 m Below Ceiling,Quad C Oxygen 1.8 m Below Ceiling,Quad D Oxygen 0.6 m Below Ceiling,Quad D Oxygen 1.8 m Below Ceiling
-180,2018-12-14 11:48:01,00:00:00,20.74,18.23,17.54,16.02,15.29,15.08,15.26,15.22,20.1,17.44,16.22,15.87,15.56,14.85,14.46,13.96,21.11,18.34,13.87,15.89,16.13,15.15,13.87,13.4,21.8,18.03,16.81,15.86,15.17,15.18,13.54,12.02,11.72,12.4,12.47,11.04,11.01,10.82,12.77,-0.37,-0.26,0.09,0.29,0.23,0.2,-0.05,0.04,0.07,0.0,-1.87,1.2,0.1,3.92,0.51,-0.53,20.95,20.96,20.96,20.92,20.93,20.95,20.96,20.95
-179,2018-12-14 11:48:02,00:00:01,20.85,18.15,17.65,16.02,15.36,15.23,15.22,15.33,20.09,17.51,16.37,15.94,15.56,14.73,14.46,13.88,21.11,18.41,13.64,16.0,16.24,15.11,13.87,13.35,21.87,17.95,16.84,15.85,15.2,15.13,13.61,12.05,11.72,12.37,12.43,11.04,11.08,10.7,12.81,-0.44,-0.33,0.25,0.18,0.23,0.27,0.29,-0.07,-0.07,-0.05,-0.25,-0.44,-0.7,3.92,-0.45,0.95,20.96,20.96,20.95,20.95,20.94,20.95,20.95,20.96
-178,2018-12-14 11:48:03,00:00:02,20.89,18.0,17.54,16.13,15.47,15.31,15.22,15.25,20.09,17.62,16.37,15.98,15.44,14.8,14.57,13.99,21.11,18.44,13.52,15.89,16.2,15.19,13.91,13.08,21.79,17.98,16.88,15.93,15.2,15.1,13.42,11.86,11.65,12.52,12.48,11.16,11.17,10.94,12.78,-0.37,-0.22,-0.21,0.04,0.23,0.23,0.09,0.15,0.16,0.16,-0.25,1.2,-1.51,0.1,0.51,-0.53,20.95,20.95,20.96,20.92,20.94,20.95,20.95,20.95
-177,2018-12-14 11:48:04,00:00:03,20.96,18.0,17.57,16.21,15.4,15.23,15.26,15.33,20.13,17.7,16.41,15.86,15.52,14.84,14.57,13.99,21.14,18.33,13.48,15.93,16.08,15.19,13.87,13.12,21.71,17.91,16.84,15.89,15.16,15.21,13.12,11.75,11.69,12.38,12.44,11.51,11.17,11.02,12.82,-0.42,-0.28,-0.19,0.23,0.31,0.1,0.3,0.03,0.04,0.08,-1.87,1.2,-0.7,2.01,0.51,0.95,20.94,20.95,20.94,20.99,20.94,20.94,20.95,20.94
-176,2018-12-14 11:48:05,00:00:04,20.89,17.96,17.5,16.36,15.55,15.5,15.26,15.33,20.24,17.77,16.52,15.83,15.48,14.92,14.57,14.15,21.14,18.37,13.71,16.0,16.05,15.15,13.83,13.08,21.79,17.91,16.88,16.04,15.32,15.1,13.04,11.75,11.69,12.3,12.63,11.66,11.36,11.09,12.89,-0.42,-0.3,0.27,0.26,0.23,0.14,0.35,-0.06,-0.01,-0.08,1.36,1.2,0.1,2.01,-0.45,-0.53,20.94,20.95,20.95,21.0,20.93,20.95,20.95,20.95
-175,2018-12-14 11:48:06,00:00:05,20.96,17.88,17.54,16.09,15.55,15.38,15.29,15.37,20.13,17.62,16.45,15.86,15.48,15.07,14.46,14.11,21.07,18.33,14.32,15.93,16.12,15.11,13.94,13.12,21.68,17.79,16.84,15.97,15.2,15.02,13.12,11.52,11.66,12.07,12.48,11.74,11.52,11.33,12.94,-0.4,-0.28,-0.12,0.23,0.21,0.25,0.09,0.0,-0.03,-0.05,-0.25,-0.44,0.9,-1.81,-1.41,-0.53,20.95,20.95,20.95,20.94,20.94,20.95,20.95,20.94
-174,2018-12-14 11:48:07,00:00:06,20.82,17.89,17.62,16.33,15.59,15.2,15.22,15.22,20.29,17.78,16.53,15.87,15.6,14.96,14.58,14.04,21.07,18.34,14.44,15.97,16.2,15.04,13.76,13.13,21.76,17.95,16.73,16.01,15.25,15.14,13.43,11.64,11.61,11.98,12.55,11.65,11.51,11.43,13.12,-0.42,-0.13,0.25,0.28,0.28,0.29,0.25,0.06,0.09,0.0,1.36,1.2,0.9,-1.81,-1.41,0.95,20.95,20.95,20.96,20.99,20.93,20.95,20.95,20.94
-173,2018-12-14 11:48:08,00:00:07,20.81,17.91,17.53,16.36,15.66,15.26,15.29,15.32,20.09,17.81,16.48,15.82,15.63,14.95,14.38,13.91,21.03,18.25,13.94,15.81,16.23,15.03,13.79,12.89,21.75,17.75,16.8,15.92,15.2,15.05,13.34,11.63,11.57,12.45,12.59,11.77,11.78,11.55,13.05,-0.45,-0.28,-0.12,0.29,0.26,0.14,0.25,-0.07,-0.07,0.02,-0.25,-0.44,0.1,0.1,-0.45,0.95,20.95,20.95,20.95,20.97,20.94,20.95,20.96,20.95
-172,2018-12-14 11:48:09,00:00:08,20.77,17.81,17.54,16.32,15.78,15.38,15.22,15.25,20.13,17.85,16.52,15.71,15.56,14.84,14.38,13.88,20.96,18.29,14.06,15.89,16.08,14.96,13.52,12.74,21.6,17.79,16.65,16.01,15.2,14.94,13.23,11.55,11.72,12.14,12.43,10.92,11.05,10.55,12.7,-0.47,-0.26,-0.16,0.15,0.21,0.32,0.29,-0.13,-0.15,-0.19,1.36,1.2,-1.51,0.1,0.51,-0.53,20.96,20.95,20.96,20.97,20.94,20.94,20.95,20.95
-171,2018-12-14 11:48:10,00:00:09,20.89,18.0,17.42,16.4,15.74,15.34,15.29,15.41,20.09,17.77,16.64,15.86,15.56,14.77,14.34,13.84,20.92,18.22,13.98,15.93,16.08,15.07,13.64,12.86,21.71,17.76,16.65,15.93,15.24,15.06,13.46,11.59,11.73,12.42,12.44,11.09,10.9,10.68,12.86,-0.48,-0.28,0.2,0.21,0.21,0.14,0.3,0.09,0.03,-0.06,-3.48,-0.44,0.1,3.92,1.47,0.95,20.94,20.95,20.94,20.94,20.95,20.95,20.95,20.94
